X,Y,Path_curvature,Xin,Yin,Xout,Yout
-0.733790143,-0.000545548,0.000465584,-0.734050519,-4.999939884,-0.733529703,5.000060102
-1.179729445,-0.000876213,0.000642654,-1.178910316,-5.000012893,-1.180548856,4.999986973
-1.625844192,-0.001207115,0.000393478,-1.623681169,-5.000205522,-1.628008081,4.999793542
-2.072154866,-0.001541889,7.93E-05,-2.06912984,-5.000475153,-2.075181182,4.999523017
-2.518666544,-0.00188487,-9.35E-05,-2.515437589,-5.000763443,-2.521896947,4.999234471
-2.965373972,-0.002239606,1.16E-05,-2.96230815,-5.001037517,-2.968441268,4.998960603
-3.412268101,-0.00260609,9.33E-05,-3.409169734,-5.001314497,-3.415368068,4.998683583
-3.859341203,-0.002984389,7.89E-05,-3.856050165,-5.001608721,-3.862634051,4.998389111
-4.30658905,-0.003374585,5.28E-05,-4.303123771,-5.001918661,-4.310056345,4.998078935
-4.754010391,-0.003776913,5.15E-05,-4.750423926,-5.002239607,-4.75759906,4.997757819
-5.201605608,-0.004191387,5.80E-05,-5.197898437,-5.002571489,-5.205315179,4.997425761
-5.649375226,-0.004617393,5.89E-05,-5.645540018,-5.002914967,-5.653213044,4.997082089
-6.097319353,-0.005054753,5.64E-05,-6.093354638,-5.003270187,-6.101286896,4.996726667
-6.545437451,-0.005503471,5.52E-05,-6.541348027,-5.003636732,-6.549529927,4.99635992
-6.99372869,-0.005963857,5.62E-05,-6.989515976,-5.004014482,-6.997944688,4.995981966
-7.44219205,-0.006435829,5.66E-05,-7.437848144,-5.004404145,-7.446539484,4.995592079
-7.8908268,-0.006919158,5.55E-05,-7.88635805,-5.004805171,-7.895299326,4.995190831
-8.339632185,-0.007413668,5.42E-05,-8.33504071,-5.005217377,-8.344227692,4.994778403
-8.788607451,-0.00791927,5.29E-05,-8.783895911,-5.005640531,-8.793323283,4.994355025
-9.237752138,-0.008436006,5.15E-05,-9.232921636,-5.006074541,-9.2425872,4.993920787
-9.687065794,-0.008963418,5.21E-05,-9.682115306,-5.006519506,-9.692021118,4.993475588
-10.13654839,-0.009501463,5.35E-05,-10.1314823,-5.006975044,-10.1416196,4.993019818
-10.5862,-0.010050322,5.34E-05,-10.58101547,-5.007441412,-10.59138993,4.992553206
-11.0360207,-0.010610148,5.18E-05,-11.03071786,-5.00791861,-11.04132924,4.99207576
-11.48601075,-0.011180935,5.05E-05,-11.48059092,-5.008406529,-11.4914366,4.991587589
-11.93617014,-0.011762189,5.04E-05,-11.93063289,-5.008905214,-11.94171371,4.991088646
-12.38649902,-0.012353753,5.02E-05,-12.38084994,-5.009414177,-12.39215474,4.990579433
-12.8369974,-0.012955594,4.97E-05,-12.83123695,-5.009933379,-12.84276481,4.990059977
-13.28766544,-0.013567776,4.92E-05,-13.28179452,-5.010462746,-13.29354364,4.989530352
-13.73850362,-0.014190349,4.87E-05,-13.73252176,-5.011002328,-13.7444931,4.988990506
-14.18951229,-0.014823123,4.82E-05,-14.18341707,-5.011552351,-14.19561549,4.988440209
