X,Y,Path_curvature,Xin,Yin,Xout,Yout
-3.686710142,-0.04575702,3.59846E-06,-3.68712363,-4.99967914,-3.686288963,5.000320825
-4.188464023,-0.05198591,4.0882E-06,-4.188868057,-4.999638167,-4.18805144,5.000361799
-4.690371237,-0.058217257,4.5781E-06,-4.690764622,-4.999598211,-4.689968518,5.000401757
-5.192427132,-0.064451058,4.8344E-06,-5.192808702,-4.999559394,-5.192035527,5.000440576
-5.69462992,-0.070687282,4.76369E-06,-5.69499909,-4.99952178,-5.69425009,5.000478192
-6.196979112,-0.076925832,4.68255E-06,-6.197336035,-4.999485357,-6.19661096,5.000514617
-6.699474349,-0.083166599,4.60138E-06,-6.699819251,-4.999450105,-6.699117701,5.00054987
-7.202115196,-0.089409475,4.52019E-06,-7.202448304,-4.999416006,-7.201769878,5.000583971
-7.704901151,-0.095654349,4.43897E-06,-7.705222691,-4.999383039,-7.704566987,5.00061694
-8.207831663,-0.101901108,4.35773E-06,-8.208141859,-4.999351185,-8.207508477,5.000648795
-8.710906164,-0.108149642,4.27647E-06,-8.711205241,-4.999320424,-8.710593777,5.000679557
-9.214124121,-0.114399838,4.19519E-06,-9.214412304,-4.999290737,-9.213822356,5.000709245
-9.717485077,-0.120651586,4.11388E-06,-9.71776259,-4.999262105,-9.717193754,5.000737879
-10.22098867,-0.126904794,4.10641E-06,-10.22125572,-4.999234508,-10.22070761,5.000765477
-10.72463456,-0.133159423,4.18322E-06,-10.7248912,-4.999207946,-10.72436379,5.00079204
-11.22842209,-0.139415489,4.26145E-06,-11.22866817,-4.999182437,-11.22816182,5.00081755
-11.73235033,-0.145673022,4.33969E-06,-11.73258566,-4.999158004,-11.73210078,5.000841985
-12.2364186,-0.151932055,4.41796E-06,-12.23664303,-4.999134665,-12.23618002,5.000865324
-12.74062674,-0.158192629,4.49624E-06,-12.7408401,-4.999112443,-12.74039936,5.000887547
-13.24497504,-0.164454789,4.57455E-06,-13.24517716,-4.999091359,-13.24475909,5.000908633
-13.74946397,-0.170718586,4.65289E-06,-13.74965469,-4.999071432,-13.74925969,5.000928561
-14.25409405,-0.176984068,4.73124E-06,-14.25427316,-4.999052688,-14.25390173,5.000947305
-14.75886584,-0.183251284,4.80947E-06,-14.7590332,-4.999035146,-14.75868566,5.000964848
-15.26377988,-0.189520279,4.86427E-06,-15.26393535,-4.999018824,-15.26361209,5.000981171
-15.76883674,-0.195791081,4.89915E-06,-15.76898022,-4.999003738,-15.76868151,5.000996257
-16.27403681,-0.202063702,4.93404E-06,-16.27416822,-4.998989898,-16.27389426,5.001010098
-16.77938026,-0.208338147,4.96894E-06,-16.77949957,-4.998977314,-16.77925054,5.001022683
-17.28486747,-0.214614423,5.00385E-06,-17.2849746,-4.998965996,-17.28475068,5.001034002
-17.79049903,-0.220892539,5.03878E-06,-17.79059393,-4.998955953,-17.79039531,5.001044045
-18.29627578,-0.227172508,5.07371E-06,-18.29635839,-4.998947196,-18.29618525,5.001052802
-18.80219861,-0.233454343,5.10865E-06,-18.80226889,-4.998939735,-18.80212142,5.001060264
-19.30826846,-0.239738058,5.1436E-06,-19.30832635,-4.99893358,-19.30820472,5.001066419
-19.81448621,-0.246023666,5.17892E-06,-19.81453165,-4.998928741,-19.81443605,5.001071259
-20.3208527,-0.252311183,5.22296E-06,-20.32088563,-4.998925228,-20.32081625,5.001074772
-20.82736868,-0.258600627,5.27214E-06,-20.82738902,-4.998923054,-20.8273461,5.001076946
-21.33403457,-0.264892019,5.32133E-06,-21.33404225,-4.998922232,-21.33402603,5.001077768
-21.84085051,-0.271185378,5.37053E-06,-21.84084543,-4.998922776,-21.84085617,5.001077224
-22.34781663,-0.277480723,5.41975E-06,-22.34779871,-4.998924701,-22.34783667,5.001075299
-22.85493321,-0.283778072,5.46899E-06,-22.85490236,-4.998928019,-22.85496779,5.001071981
-23.3622006,-0.290077447,5.51824E-06,-23.36215673,-4.998932745,-23.3622499,5.001067255
-23.86961915,-0.29637887,5.5675E-06,-23.86956217,-4.998938893,-23.86968333,5.001061107
-24.37718917,-0.302682363,5.61678E-06,-24.377119,-4.998946476,-24.37726841,5.001053523
-24.88491095,-0.308987947,5.66534E-06,-24.88482751,-4.998955509,-24.88500542,5.001044489
-25.39278472,-0.315295637,5.70471E-06,-25.39268792,-4.998966005,-25.3928946,5.001033993
-25.90081069,-0.321605442,5.74089E-06,-25.90070047,-4.998977976,-25.90093611,5.001022021
-26.40898879,-0.327917361,5.77707E-06,-26.40886509,-4.998991432,-26.4091299,5.001008564
-26.91731871,-0.334231392,5.81327E-06,-26.91718149,-4.999006385,-26.91747564,5.000993611
-27.42580022,-0.340547535,5.84948E-06,-27.42564942,-4.999022844,-27.42597312,5.000977151
-27.93443329,-0.346865787,5.88569E-06,-27.93426886,-4.999040821,-27.9346223,5.000959173
-28.44321806,-0.353186151,5.92192E-06,-28.44303995,-4.999060326,-28.44342332,5.000939667
-28.95215474,-0.359508629,5.95816E-06,-28.9519629,-4.999081369,-28.95237639,5.000918622
-29.46124354,-0.365833225,5.99441E-06,-29.46103791,-4.999103963,-29.46148172,5.000896027
-29.97048465,-0.372159941,6.03221E-06,-29.97026518,-4.999128116,-29.9707395,5.000871872
-30.47987821,-0.378488794,6.0831E-06,-30.47964485,-4.999153842,-30.48014988,5.000846145
-30.98942427,-0.384819817,6.13573E-06,-30.98917693,-4.999181154,-30.98971294,5.000818832
-31.49912248,-0.391153052,6.18838E-06,-31.49886108,-4.999210066,-31.49942835,5.000789918
-32.00897211,-0.397488535,6.24104E-06,-32.00869644,-4.999240609,-32.00929551,5.000759373
-32.51897257,-0.403826306,6.29372E-06,-32.51868264,-4.999272785,-32.51931355,5.000727195
-33.02912359,-0.410166407,6.34642E-06,-33.02881933,-4.999306608,-33.02948234,5.00069337
-33.53942519,-0.416508886,6.39913E-06,-33.5391065,-4.999342092,-33.53980189,5.000657884
-34.04987752,-0.422853791,6.45186E-06,-34.04954433,-4.999379254,-34.05027236,5.00062072
-34.56048075,-0.429201171,6.5046E-06,-34.56013298,-4.999418107,-34.56089394,5.000581864
-35.07123504,-0.435551064,6.55604E-06,-35.07087259,-4.999458668,-35.07166676,5.0005413
-35.58214045,-0.441903463,6.60343E-06,-35.58176324,-4.999500952,-35.58259088,5.000499014
-36.09319676,-0.44825829,6.65059E-06,-36.09280472,-4.999544971,-36.09366609,5.000454991
-36.6044035,-0.454615433,6.69777E-06,-36.60399657,-4.999590741,-36.60489192,5.000409219
-37.1157603,-0.460974776,6.74496E-06,-37.1153384,-4.999638274,-37.11626798,5.000361683
-37.62726698,-0.467336208,6.79216E-06,-37.62683004,-4.999687585,-37.62779409,5.000312369
-38.13892354,-0.473699622,6.83938E-06,-38.13847148,-4.999738687,-38.13947027,5.000261263
-38.65073007,-0.480064909,6.88662E-06,-38.65026283,-4.999791594,-38.6512966,5.000208353
-39.16268667,-0.486431961,6.93386E-06,-39.16220419,-4.99984632,-39.16327319,5.000153622
-39.67479346,-0.492800671,6.98112E-06,-39.67429566,-4.99990288,-39.67540014,5.000097059
-40.18705048,-0.499170949,7.02079E-06,-40.1865373,-4.999961286,-40.18767751,5.000038649
-40.69945777,-0.50554277,7.051E-06,-40.69892915,-5.000021552,-40.70010531,4.999978379
-41.2120151,-0.511916172,7.08098E-06,-41.21147101,-5.000083685,-41.21268328,4.999916241
-41.724722,-0.518291218,7.11097E-06,-41.72416242,-5.000147697,-41.72541096,4.999852225
-42.23757811,-0.524667972,7.14097E-06,-42.23700301,-5.000213596,-42.23828799,4.999786321
-42.75058328,-0.531046502,7.17098E-06,-42.74999262,-5.000281393,-42.75131422,4.99971852
-43.2637375,-0.537426877,7.201E-06,-43.26313107,-5.000351119,-43.26448988,4.999648789
-43.77704092,-0.543809168,7.23102E-06,-43.77641889,-5.000422761,-43.77781464,4.999577142
-44.29049367,-0.550193448,7.26106E-06,-44.28985601,-5.000496328,-44.29128885,4.999503569
-44.80409584,-0.556579787,7.29171E-06,-44.80344253,-5.000571831,-44.80491264,4.999428061
-45.31784754,-0.562968231,7.33718E-06,-45.31717854,-5.000649279,-45.31868608,4.999350607
-45.83174878,-0.56935875,7.39059E-06,-45.83106403,-5.000728686,-45.83260926,4.999271194
-46.34579937,-0.575751238,7.44401E-06,-46.3450988,-5.000810067,-46.34668199,4.999189807
-46.85999887,-0.582145576,7.49745E-06,-46.8592824,-5.000893439,-46.86090383,4.99910643
-47.37434694,-0.588541644,7.55091E-06,-47.37361449,-5.000978816,-47.37527445,4.999021046
-47.88884345,-0.594939328,7.60438E-06,-47.88809495,-5.001066214,-47.88979372,4.998933641
-48.40348843,-0.601338517,7.65786E-06,-48.4027238,-5.00115565,-48.40446167,4.998844199
-48.91828204,-0.607739101,7.71136E-06,-48.9175012,-5.001247139,-48.91927845,4.998752703
-49.4332244,-0.614140969,7.76488E-06,-49.43242729,-5.001340697,-49.43424421,4.998659138
-49.94831567,-0.620544015,7.81845E-06,-49.9475022,-5.00143634,-49.94935907,4.998563488
-50.46355595,-0.626948164,7.8724E-06,-50.46272604,-5.001534084,-50.46462315,4.998465736
-50.97894527,-0.633353428,7.92641E-06,-50.97809885,-5.001633945,-50.98003649,4.998365868
-51.49448328,-0.639759855,7.98044E-06,-51.49362028,-5.001735938,-51.49559874,4.998263866
-52.01016925,-0.64616749,8.03449E-06,-52.00928942,-5.001840102,-52.01130938,4.998159694
-52.52600263,-0.652576391,8.08855E-06,-52.52510597,-5.001946441,-52.52716755,4.998053346
