X,Y,Path_curvature,Xin,Yin,Xout,Yout
-3.086136046,-0.020483985,5.04E-07,-3.085783327,-5.000217318,-3.086491637,4.999782656
-3.542109289,-0.023511037,5.79E-07,-3.541755658,-5.000249718,-3.542466226,4.999750256
-3.998266066,-0.026539545,6.53E-07,-3.99791134,-5.000282251,-3.998624538,4.999717723
-4.454596769,-0.029569478,7.28E-07,-4.454240725,-5.000314937,-4.454957003,4.999685037
-4.91109794,-0.032600834,8.01E-07,-4.910740459,-5.000347787,-4.911460063,4.999652187
-5.367769933,-0.035633632,8.59E-07,-5.367410878,-5.000380814,-5.368134088,4.99961916
-5.824614167,-0.038667848,9.11E-07,-5.8242534,-5.000414031,-5.824980496,4.999585943
-6.281631246,-0.04170343,9.63E-07,-6.281268653,-5.000447449,-6.281999873,4.999552525
-6.738820543,-0.044740315,1.01E-06,-6.738455976,-5.000481081,-6.739191622,4.999518891
-7.19618092,-0.047778427,1.07E-06,-7.195814208,-5.000514945,-7.19655463,4.999485027
-7.653711322,-0.050817696,1.12E-06,-7.653342448,-5.000549042,-7.654087688,4.99945093
-8.111410972,-0.053858056,1.17E-06,-8.1110398,-5.000583385,-8.111790138,4.999416587
-8.569279345,-0.056899444,1.22E-06,-8.568905771,-5.000617984,-8.569661425,4.999381988
-9.027316091,-0.05994179,1.28E-06,-9.026940002,-5.00065285,-9.027701206,4.999347122
-9.485520955,-0.062985025,1.33E-06,-9.485142194,-5.000687997,-9.485909274,4.999311973
-9.943893759,-0.066029091,1.38E-06,-9.943512148,-5.000723444,-9.94428547,4.999276526
-10.40243437,-0.069073943,1.42E-06,-10.4020499,-5.000759192,-10.4028295,4.999240778
-10.86114268,-0.072119567,1.47E-06,-10.86075526,-5.000795249,-10.86154132,4.999204721
-11.32001823,-0.075165962,1.51E-06,-11.31962775,-5.000831625,-11.32042049,4.999168343
-11.77906015,-0.078213128,1.55E-06,-11.77866653,-5.00086833,-11.77946613,4.999131638
-12.23826785,-0.081261065,1.59E-06,-12.23787095,-5.000905377,-12.23867771,4.999094591
-12.69764132,-0.084309788,1.64E-06,-12.69724098,-5.000942781,-12.69805524,4.999057185
-13.15718099,-0.08735931,1.68E-06,-13.15677722,-5.000980543,-13.15759896,4.999019423
-13.61688753,-0.090409643,1.72E-06,-13.61648024,-5.001018671,-13.61730964,4.998981295
-14.07676165,-0.093460799,1.76E-06,-14.07635078,-5.001057172,-14.077188,4.998942792
-14.53680407,-0.096512788,1.81E-06,-14.53638949,-5.001096059,-14.53723479,4.998903905
-14.99701549,-0.099565624,1.85E-06,-14.99659711,-5.001135341,-14.99745067,4.998864623
-15.45739658,-0.102619348,1.90E-06,-15.45697414,-5.001175042,-15.45783652,4.99882492
-15.91794803,-0.10567403,1.95E-06,-15.91752159,-5.00121516,-15.91839267,4.998784802
-16.37867019,-0.108729754,2.00E-06,-16.37823966,-5.001255703,-16.37911964,4.998744259
-16.83956317,-0.111786606,2.05E-06,-16.83912842,-5.001296682,-16.84001756,4.998703278
-17.30062716,-0.114844677,2.10E-06,-17.30018811,-5.001338109,-17.30108661,4.998661851
-17.76186271,-0.117904061,2.15E-06,-17.76141923,-5.001379994,-17.76232735,4.998619964
-18.22327056,-0.120964849,2.20E-06,-18.2228224,-5.001422364,-18.22374068,4.998577594
-18.68485155,-0.124027133,2.25E-06,-18.68439867,-5.001465222,-18.68532719,4.998534734
-19.14660649,-0.127091004,2.30E-06,-19.14614885,-5.001508574,-19.14708771,4.998491382
-19.60853611,-0.130156553,2.35E-06,-19.60807362,-5.001552429,-19.60902302,4.998447525
-20.070641,-0.133223875,2.40E-06,-20.07017354,-5.0015968,-20.07113374,4.998403154
-20.53292162,-0.136293033,2.45E-06,-20.53244909,-5.001641697,-20.53342031,4.998358255
-20.99537801,-0.139364036,2.51E-06,-20.99490026,-5.001687136,-20.99588282,4.998312816
-21.45800984,-0.14243687,2.56E-06,-21.45752657,-5.001733145,-21.45852109,4.998266805
-21.92081683,-0.145511522,2.61E-06,-21.92032815,-5.001779716,-21.92133443,4.998220234
-22.38379901,-0.148587983,2.66E-06,-22.38330482,-5.001826859,-22.38432308,4.998173089
-22.84695662,-0.151666248,2.71E-06,-22.84645681,-5.001874586,-22.84748731,4.99812536
-23.31029006,-0.15474632,2.76E-06,-23.30978451,-5.001922911,-23.31082749,4.998077035
-23.77379973,-0.157828192,2.81E-06,-23.77328834,-5.001971842,-23.77434402,4.998028102
-24.23748594,-0.16091185,2.86E-06,-24.2369685,-5.002021402,-24.23803734,4.99797854
-24.70134896,-0.163997283,2.92E-06,-24.70082529,-5.002071611,-24.70190769,4.997928331
-25.16538905,-0.167084486,2.97E-06,-25.1648592,-5.002122462,-25.16595506,4.997877478
-25.62960634,-0.170173461,3.02E-06,-25.6290702,-5.002173969,-25.63017976,4.997825969
-26.09400066,-0.173264226,3.07E-06,-26.09345814,-5.002226142,-26.09458162,4.997773794
-26.55857155,-0.1763568,3.12E-06,-26.55802251,-5.002278995,-26.55916019,4.997720941
-27.0233186,-0.179451199,3.18E-06,-27.02276296,-5.002332538,-27.02391506,4.997667396
-27.48824174,-0.182547431,3.23E-06,-27.48767928,-5.002386792,-27.48884624,4.99761314
-27.95334104,-0.185645512,3.28E-06,-27.95277154,-5.002441781,-27.95395386,4.997558149
-28.41861674,-0.188745461,3.33E-06,-28.41804029,-5.002497497,-28.41923779,4.997502431
-28.88406907,-0.191847298,3.39E-06,-28.88348557,-5.002553952,-28.88469849,4.997445974
-29.3496982,-0.194951045,0.000003438,-29.34910753,-5.002611158,-29.35033613,4.997388766
-29.81550425,-0.198056732,3.49E-06,-29.81490631,-5.002669128,-29.81615083,4.997330794
-30.28148732,-0.201164373,3.54E-06,-30.280882,-5.002727873,-30.28214268,4.997272047
-30.74764741,-0.204273971,3.59E-06,-30.74703457,-5.002787407,-30.74831171,4.997212511
